set NODI := 1 2 3 4 5 6;
param: ARCHI: COSTI CAP :=
                 1,2           10         800
                 1,3           50        600
                 2,4          30        600
                 2,5           70        100
                 3,4           10         300
                 3,5           60        400
                 4,5           30         600
                 4,6           60        400
                 5,6           30         600
;

param SUPP :=
                  1    900,
                  2   0,
                  3   0,
                  4   0,
                  5   0,
                  6   -900
;
